"EnvLevel","gen","yield_Mean","yield_StdErrMean","yield_sigma2","yield_No.rep"
"1","G01",4.81428581731915,0.662497660450923,0.0901721012167831,1.89189189189189
"1","G02",3.91545430706854,0.664054845391539,0.0901721012167831,1.89189189189189
"1","G03",5.09760916825029,0.664923467343658,0.0901721012167831,1.89189189189189
"1","G04",3.52066531638432,0.662940112967573,0.0901721012167831,1.89189189189189
"1","G05",4.395182145541,0.664301069654928,0.0901721012167831,1.89189189189189
"1","G06",5.40929815364107,0.665296667504675,0.0901721012167831,1.89189189189189
"1","G07",5.08502039640778,0.662938891846324,0.0901721012167831,1.89189189189189
"1","G08",4.6027776092387,0.665406264638265,0.0901721012167831,1.89189189189189
"1","G09",4.35086515605727,0.663418623527483,0.0901721012167831,1.89189189189189
"1","G10",4.32808442434552,0.664371765251261,0.0901721012167831,1.89189189189189
"1","G11",4.93089714288211,0.663769739945031,0.0901721012167831,1.89189189189189
"1","G12",4.94575611122456,0.667622476983463,0.0901721012167831,1.89189189189189
"1","G13",4.68248703849973,0.665305736174763,0.0901721012167831,1.89189189189189
"1","G14",4.76444029884647,0.663050029806475,0.0901721012167831,1.89189189189189
"1","G15",3.21210708624758,0.726990814974465,0.0901721012167831,1.89189189189189
"1","G16",3.95801007540631,0.725377775607087,0.0901721012167831,1.89189189189189
"1","G17",4.15437978715766,0.665466899662206,0.0901721012167831,1.89189189189189
"1","G18",4.56451972587064,0.66459791014253,0.0901721012167831,1.89189189189189
"1","G19",5.66889526894947,0.665043799208377,0.0901721012167831,1.89189189189189
"1","G20",4.31950281095556,0.662254513631405,0.0901721012167831,1.89189189189189
"1","G21",4.59291607379743,0.662707606908541,0.0901721012167831,1.89189189189189
"1","G22",4.01135901711043,0.664656785393023,0.0901721012167831,1.89189189189189
"1","G23",3.42332045096543,0.66283433756797,0.0901721012167831,1.89189189189189
"1","G24",3.88837454724705,0.662252308019033,0.0901721012167831,1.89189189189189
"1","G25",4.64041956423248,0.664743795220622,0.0901721012167831,1.89189189189189
"1","G26",3.75903255893381,0.666581041131436,0.0901721012167831,1.89189189189189
"1","G27",4.6990948277607,0.665147510308991,0.0901721012167831,1.89189189189189
"1","G28",4.29462775807798,0.664611877004356,0.0901721012167831,1.89189189189189
"1","G29",3.79325535015442,0.663785430093687,0.0901721012167831,1.89189189189189
"1","G30",3.95296715683286,0.662995079141731,0.0901721012167831,1.89189189189189
"1","G31",3.85893994910025,0.664315795174889,0.0901721012167831,1.89189189189189
"1","G32",4.26421023699518,0.663829838394778,0.0901721012167831,1.89189189189189
"1","G33",4.91426266270287,0.665286243039526,0.0901721012167831,1.89189189189189
"1","G34",4.29845398819185,0.662256616109438,0.0901721012167831,1.89189189189189
"1","G35",3.60179905382123,0.664425568901389,0.0901721012167831,1.89189189189189
