"EnvLevel","ENTRY","YIELD_Mean","YIELD_StdErrMean","YIELD_sigma2","YIELD_No.rep"
"1","1",6.34999990514752,0.936249130204431,0.876562433764155,1.07317073170732
"1","10",1.04999995200823,0.936249130204431,0.876562433764155,1.07317073170732
"1","11",3.74999999993732,0.936249130204431,0.876562433764155,1.07317073170732
"1","12",3.79999995200823,0.936249130204431,0.876562433764155,1.07317073170732
"1","13",4.40000009514752,0.936249130204431,0.876562433764155,1.07317073170732
"1","14",2.59999990514752,0.936249130204431,0.876562433764155,1.07317073170732
"1","15",3.40000009493732,0.936249130204431,0.876562433764155,1.07317073170732
"1","16",8.24999999990693,0.936249130204431,0.876562433764155,1.07317073170732
"1","17",4.25000000014752,0.936249130204431,0.876562433764155,1.07317073170732
"1","18",4.34999990490693,0.936249130204431,0.876562433764155,1.07317073170732
"1","19",5.90000009493732,0.936249130204431,0.876562433764155,1.07317073170732
"1","2",6.49999999993732,0.936249130204431,0.876562433764155,1.07317073170732
"1","20",4.40000009514752,0.936249130204431,0.876562433764155,1.07317073170732
"1","21",1.79999995200823,0.936249130204431,0.876562433764155,1.07317073170732
"1","22",3.45000004814752,0.936249130204431,0.876562433764155,1.07317073170732
"1","23",5.50000000000823,0.936249130204431,0.876562433764155,1.07317073170732
"1","24",5.40000009490693,0.936249130204431,0.876562433764155,1.07317073170732
"1","25",4.80000019093732,0.936249130204431,0.876562433764155,1.07317073170732
"1","26",4.69999980914752,0.936249130204431,0.876562433764155,1.07317073170732
"1","27",4.90000009500823,0.936249130204431,0.876562433764155,1.07317073170732
"1","28",3.75000000014752,0.936249130204431,0.876562433764155,1.07317073170732
"1","29",6.19999980893732,0.936249130204431,0.876562433764155,1.07317073170732
"1","3",3.95000004814752,0.936249130204431,0.876562433764155,1.07317073170732
"1","30",4.49999999990693,0.936249130204431,0.876562433764155,1.07317073170732
"1","31",2.40000009500823,0.936249130204431,0.876562433764155,1.07317073170732
"1","32",3.99999999990693,0.936249130204431,0.876562433764155,1.07317073170732
"1","33",3.90000009500823,0.936249130204431,0.876562433764155,1.07317073170732
"1","34",6.59999990514752,0.936249130204431,0.876562433764155,1.07317073170732
"1","35",5.30000019093732,0.936249130204431,0.876562433764155,1.07317073170732
"1","36",3.90000009490693,0.936249130204431,0.876562433764155,1.07317073170732
"1","37",5.15000009493732,0.936249130204431,0.876562433764155,1.07317073170732
"1","38",3.70000004790693,0.936249130204431,0.876562433764155,1.07317073170732
"1","39",5.30000019093732,0.936249130204431,0.876562433764155,1.07317073170732
"1","4",5.59999990490693,0.936249130204431,0.876562433764155,1.07317073170732
"1","40",6.99999999990693,0.936249130204431,0.876562433764155,1.07317073170732
"1","41",4.69999980914752,0.936249130204431,0.876562433764155,1.07317073170732
"1","42",3.40000009493732,0.936249130204431,0.876562433764155,1.07317073170732
"1","43",1.49999999990693,0.936249130204431,0.876562433764155,1.07317073170732
"1","44",4.05000019100823,0.936249130204431,0.876562433764155,1.07317073170732
"1","45",5.55000019093732,0.936249130204431,0.876562433764155,1.07317073170732
"1","46",5.59999990514752,0.936249130204431,0.876562433764155,1.07317073170732
"1","47",3.84999990493732,0.936249130204431,0.876562433764155,1.07317073170732
"1","48",3.40000009490693,0.936249130204431,0.876562433764155,1.07317073170732
"1","49",3.40000009514752,0.936249130204431,0.876562433764155,1.07317073170732
"1","5",2.00000000000823,0.936249130204431,0.876562433764155,1.07317073170732
"1","50",4.90000009500823,0.936249130204431,0.876562433764155,1.07317073170732
"1","51",3.20000004800823,0.936249130204431,0.876562433764155,1.07317073170732
"1","52",1.99999999990693,0.936249130204431,0.876562433764155,1.07317073170732
"1","53",2.99999999990693,0.936249130204431,0.876562433764155,1.07317073170732
"1","54",4.05000019100823,0.936249130204431,0.876562433764155,1.07317073170732
"1","55",2.20000004790693,0.936249130204431,0.876562433764155,1.07317073170732
"1","56",3.04999995200823,0.936249130204431,0.876562433764155,1.07317073170732
"1","57",6.49999999993732,0.936249130204431,0.876562433764155,1.07317073170732
"1","58",6.99999999993732,0.936249130204431,0.876562433764155,1.07317073170732
"1","59",4.40000009514752,0.936249130204431,0.876562433764155,1.07317073170732
"1","6",3.50000000000823,0.936249130204431,0.876562433764155,1.07317073170732
"1","60",7.50000000000823,0.936249130204431,0.876562433764155,1.07317073170732
"1","61",3.7374999525,0.468124565102216,0.876562433764155,1.07317073170732
"1","62",4.33749997625,0.468124565102216,0.876562433764155,1.07317073170732
"1","63",3.5124999285,0.468124565102216,0.876562433764155,1.07317073170732
"1","64",4.5499999525,0.468124565102216,0.876562433764155,1.07317073170732
"1","65",5.100000024,0.468124565102216,0.876562433764155,1.07317073170732
"1","66",4.17499995225,0.468124565102216,0.876562433764155,1.07317073170732
"1","7",4.55000019090693,0.936249130204431,0.876562433764155,1.07317073170732
"1","8",3.90000009514752,0.936249130204431,0.876562433764155,1.07317073170732
"1","9",4.19999980893732,0.936249130204431,0.876562433764155,1.07317073170732
