"EnvLevel","gen","block","rep","yield","yield_resid_fixed","yield_resid_random"
"1","G01","B1","R3",4.6512,-0.077424733243709,-0.0182115684743334
"1","G01","B4","R2",5.7161,0.139942788216259,0.277738246394609
"1","G01","B5","R1",5.1202,-0.0625180549725366,0.0293518056776474
"1","G02","B2","R1",4.335,-0.0275409324575389,-0.0454907466350987
"1","G02","B2","R3",4.051,-0.0226376229327938,-0.0243992164634843
"1","G02","B5","R2",5.1566,0.0501785553903318,0.0727842602735027
"1","G03","B2","R2",3.7999,0.225541170217051,0.0809803788169878
"1","G03","B4","R1",3.342,-0.120943782008499,-0.285054529224049
"1","G03","B6","R3",2.8873,-0.10459738820855,-0.248182676950893
"1","G04","B1","R1",4.4461,-0.218809205617082,-0.200046376091342
"1","G04","B1","R2",4.3599,0.134990833508858,0.0830761963487943
"1","G04","B3","R3",4.396,0.0838183721082251,0.120468744182569
"1","G05","B1","R1",5.8757,0.684244085765243,0.761462400073063
"1","G05","B4","R2",5.1202,-0.395135933190392,-0.292253026162936
"1","G05","B6","R3",4.1972,-0.28910815257485,-0.19529816009408
"1","G06","B3","R3",4.2474,-0.0518661407562577,-0.0666979978353064
"1","G06","B6","R1",4.7085,-0.107440674636581,-0.054076319914544
"1","G06","B6","R2",5.1751,0.159306815392837,0.146552588272372
"1","G07","B5","R1",4.1505,-0.0468433399410566,-0.131918060053255
"1","G07","B6","R2",4.6297,-0.00100194392222441,-0.045850486718706
"1","G07","B6","R3",3.6096,0.0478452838632806,-0.000376753267437913
"1","G08","B1","R2",3.9926,-0.302731009316302,-0.340364358375169
"1","G08","B2","R3",3.9821,-0.194939310101413,-0.1504857733042
"1","G08","B4","R1",4.9989,0.497670319417716,0.526780656744396
"1","G09","B2","R3",3.1407,0.0639034839307699,-0.121389203713137
"1","G09","B4","R2",4.2955,0.336531726634305,0.165494212539757
"1","G09","B6","R1",3.3986,-0.400435210565075,-0.511053563029569
"1","G10","B2","R1",4.1736,-0.0822075892801966,-0.112675905036933
"1","G10","B4","R2",4.9057,0.0566239629480831,0.0565990413875763
"1","G10","B4","R3",4.0875,0.0255836263321134,0.00454398161262137
"1","G11","B1","R1",4.1172,-0.298814835771614,-0.326593538071532
"1","G11","B1","R3",3.9205,0.0281376238127824,-0.0525587791764734
"1","G11","B3","R2",5.1163,0.270677211958832,0.265753225309587
"1","G12","B3","R2",5.3127,0.0120838023958374,0.0404759348880477
"1","G12","B4","R3",4.1746,-0.233128600906214,-0.222941314504027
"1","G12","B6","R1",5.256,0.221044798510375,0.312665969701602
"1","G13","B4","R1",4.253,-0.416594941790811,-0.388164186776062
"1","G13","B4","R3",4.7512,0.310783334777626,0.347797739653282
"1","G13","B5","R2",5.484,0.105811607013186,0.17395285991233
"1","G14","B1","R2",4.5294,-0.0121552746915814,0.0158282500529925
"1","G14","B1","R3",4.3887,-0.0692028542331249,-0.0234595634920849
"1","G14","B3","R1",4.7572,0.0813581289247081,0.147897320061849
"1","G15","B2","R2",4.9114,-0.109392745341794,-0.0143848350026401
"1","G15","B2","R3",4.6783,0.0931126729135272,0.183913826907727
"1","G15","B5","R1",5.0902,0.016280072428267,0.0754108024436606
"1","G16","B3","R1",4.4906,-0.0890525841035759,-0.0764136131632407
"1","G16","B5","R3",4.3852,0.0358180770749801,0.0742891049523333
"1","G16","B6","R2",5.3024,0.0532345070285967,0.117960450769356
"1","G17","B3","R2",5.0744,-0.0812342067066627,-0.050228064899267
"1","G17","B3","R3",4.3234,-0.049898676711801,-0.0238597080064755
"1","G17","B5","R1",4.7876,0.131132883418461,0.119023304766654
"1","G18","B3","R1",3.9737,-0.222269536301601,-0.282761377253402
"1","G18","B3","R3",4.2486,0.0996445986814765,0.0891621005715164
"1","G18","B5","R2",5.0988,0.122624937620125,0.130031614545699
"1","G19","B1","R3",4.5552,0.0819010058114777,0.0969159881819559
"1","G19","B4","R1",4.7269,-0.0359500859129609,0.0280488168465993
"1","G19","B6","R2",5.3148,-0.0459509198985169,0.041946935668487
"1","G20","B1","R2",3.6056,-0.210778704074704,-0.326961082349972
"1","G20","B2","R1",4.0141,0.0271096856154407,-0.0231740274506169
"1","G20","B6","R3",3.7349,0.183669018459263,0.154755785042748
"1","G21","B2","R1",4.654,-0.0175997646730206,0.0229132596875479
"1","G21","B3","R2",5.3802,0.00960385424134103,0.0777503957291756
"1","G21","B5","R3",4.413,0.00799591043167958,0.0469979929126216
"1","G22","B1","R1",4.5784,-0.0804306735282463,-0.0856465470675776
"1","G22","B5","R2",5.0969,-0.0364227568642912,-0.00586191281948345
"1","G22","B5","R3",4.2397,0.116853430392538,0.105347813496988
"1","G23","B2","R2",4.3042,-0.00654014899986954,-0.0209803074507429
"1","G23","B3","R1",4.2323,0.104586973656852,0.0424088393975106
"1","G23","B4","R3",3.8721,-0.0980468246569823,-0.123453289062435
"1","G24","B2","R2",3.9039,-0.280688169198251,-0.345480047830467
"1","G24","B5","R3",3.5655,-0.205790385362974,-0.292488182866641
"1","G24","B6","R1",4.9577,0.486478554561225,0.492154254763467
